Land 1
snow TextureContainer\\Tilesets\\snow.png
Roads 17
a TextureContainer\\Tilesets\\asphalt.png
aswhrdln TextureContainer\\Tilesets\\asphalt_with_roadline_left.png
aswhrdlnt TextureContainer\\Tilesets\\asphalt_with_roadline_turn.png
swhrdlnti TextureContainer\\Tilesets\\asphalt_with_roadline_turn_inside.png
aswhrdlnc1 TextureContainer\\Tilesets\\asphalt_with_roadlinecenter1.png
aswhrdlnct TextureContainer\\Tilesets\\asphalt_with_roadlinecenter_turn.png
aswhrdlncc TextureContainer\\Tilesets\\asphalt_with_roadlinecenter_crossroads.png
c TextureContainer\\Tilesets\\cross.png
h TextureContainer\\Tilesets\\road_horizontal.png
H TextureContainer\\Tilesets\\road_horizontal2.png
sdwdir3 TextureContainer\\Tilesets\\sidewalk3dir.png
v TextureContainer\\Tilesets\\road_vertical.png
V TextureContainer\\Tilesets\\road_vertical2.png
l TextureContainer\\Tilesets\\turn_left.png
r TextureContainer\\Tilesets\\turn_right.png
cr TextureContainer\\Tilesets\\crosswalk.png
cra TextureContainer\\Tilesets\\adjoinedcrosswalk.png
